"Id_day ""Period"" ""V1"" ""V2"" ""V3"" ""V4"""
1 1 -4459.32 -1515.462 4001 1973.782
1 1 -3773.533 -3231.411 4001 3003.944
1 1 -3034.65 -1488.197 1236.511 3286.336
1 1 -4500 -1113.277 4001 1612.277
1 1 -2100.099 -4400 4001 2499.099
1 1 -2987.633 -1438.691 1135.757 3290.568
1 1 -4500 1015.184 4001 -516.1836
1 1 -4500 1285.644 3531.075 -316.7191
1 1 2198.244 -4400 4001 -1799.244
1 1 2057.807 -4400 448.0416 1894.152
1 1 -2252.405 4333.972 -1418.96 -662.6067
1 1 -2899.084 -1442.403 1064.633 3276.854
1 1 -1793.299 1255.301 4001 -3463.002
1 1 1098.74 -1873.359 4001 -3226.382
1 1 4184.786 -4400 1438.933 -1223.719
1 1 1108.227 -3306.938 -78.07628 2276.788
1 1 3290.625 -4400 491.3774 617.9978
1 1 -692.1901 5417.421 -3060.965 -1664.265
1 1 -327.1267 -366.6066 -1401.777 2095.51
1 1 -214.9925 -1844.003 -737.5176 2796.514
1 1 -623.8255 872.8255 4001 -4250
1 1 2815.815 432.1278 492.5455 -3740.488
1 1 474.5726 -538.946 4001 -3936.627
1 1 4244.866 74.23646 -1149.658 -3169.445
1 1 1110.013 -375.4679 -1399.484 664.938
1 1 4206.163 2205.946 -2454.317 -3957.792
1 1 -305.1854 5514.451 -3410.141 -1799.124
1 1 -323.7096 -381.944 -1396.564 2102.218
1 1 -322.86 -3.061359 -1528.305 1854.227
1 1 142.6051 106.3949 4001 -4250
1 1 3173.702 4181.255 -3104.957 -4250
1 1 3174.439 676.6143 -107.1916 -3743.862
1 1 670.0435 -56.19632 3472.276 -4086.123
1 1 4207.138 2210.298 -2455.864 -3961.572
1 1 -304.575 -375.4679 -1399.484 2079.526
1 1 4118.326 2146.292 -2430.513 -3834.105
1 1 -176.9844 5491.729 -3440.134 -1874.611
1 1 -321.2204 53.57045 -1548.05 1815.7
1 1 588.3144 326.6892 3334.996 -4250
1 1 4061.289 2868.186 -2679.475 -4250
1 1 332.0793 5295.024 -3392.948 -2234.156
1 1 3021.248 1924.328 -695.5754 -4250
1 2 3830.09 4145.518 -3725.608 -4250
1 2 3387.383 4744.332 -3881.715 -4250
1 2 -319.0508 -410.7106 -1386.341 2116.102
1 2 3931.039 3983.059 -3664.099 -4250
1 2 512.3456 5602.391 -3762.197 -2352.54
1 2 -841.4476 1090.448 4001 -4250
1 2 -322.6867 -394.3582 -1391.899 2108.943
1 2 -270.0564 -1106.877 -1089.008 2465.942
1 2 3997.056 3650.569 -3397.625 -4250
1 2 2815.228 -4108.023 -60.11497 1352.91
1 2 -296.7701 227.3066 -1628.33 1697.794
1 2 79.95493 5730.18 -3742.249 -2067.886
1 2 -470.6522 719.6522 4001 -4250
1 2 -1184.614 1201.966 4001 -4018.351
1 2 -331.8969 -368.3701 -1398.762 2099.029
1 2 -1304.646 -720.4717 -675.8451 2700.963
1 2 3142.249 2881.389 -1773.637 -4250
1 2 4051.983 587.1345 -1527.939 -3111.178
1 2 2911.563 -4400 214.4819 1273.956
1 2 -82.51787 5714.508 -3710.97 -1921.02
1 2 26.14475 5694.992 -3659.669 -2061.467
1 2 -58.78736 5719.942 -3716.713 -1944.442
1 2 698.8361 1291.405 2259.759 -4250
1 2 460.6702 -1090.342 4001 -3371.328
1 2 -4500 901.7943 4001 -402.7943
1 2 -257.8425 5657.103 -3638.389 -1760.872
1 2 -2680.319 -328.3953 22.38291 2986.331
1 2 3374.89 970.3946 -870.9959 -3474.289
1 2 3986.207 -4400 1351.608 -937.8151
1 2 -1511.429 -4400 4001 1910.429
1 2 951.1279 108.5858 2683.65 -3743.364
1 2 849.1106 -1920.613 4001 -2929.498
1 2 -4500 1358.707 3202.475 -61.18202
1 2 -4500 -1652.002 4001 2151.002
1 2 -2039.411 4666.078 -2188.32 -438.3476
1 2 -3586.734 -1274.2 1955.019 2905.914
1 2 2643.44 478.1818 346.5588 -3468.18
1 2 1928.358 -4400 4001 -1529.358
1 2 -4136.138 -2562.606 4001 2697.745
1 2 -4500 -1283.831 3718.173 2065.659
1 3 -12.67495 6110.948 -3987.302 -2110.971
1 3 326.7897 6026.895 -4029.578 -2324.107
1 3 -231.5729 1006.765 -1960.793 1185.601
1 3 -246.334 6154.344 -3935.551 -1972.46
1 3 3389.707 5263.528 -4403.235 -4250
1 3 -285.7907 -208.8567 -1477.545 1972.193
1 3 -277.465 6155.705 -3921.73 -1956.51
1 3 -318.7266 -311.7533 -1428.338 2058.818
1 3 4007.964 4474.463 -4232.427 -4250
1 3 -1127.563 1376.563 4001 -4250
1 3 -428.5316 6057.604 -3690.629 -1938.443
1 3 -540.7229 6096.754 -3777.899 -1778.132
1 3 -328.9031 -388.5497 -1394.269 2111.722
1 3 4027.653 4446.813 -4224.466 -4250
1 3 -1686.817 1559.495 4001 -3873.677
1 3 -968.6627 1217.663 4001 -4250
1 3 -1970.247 5445.537 -2870.2 -605.0894
1 3 -1217.864 -595.5101 -905.5634 2718.938
1 3 -276.9902 -1086.016 -1111.458 2474.464
1 3 3027.438 3551.526 -2328.964 -4250
1 3 4037.529 4394.16 -4204.215 -4227.475
1 3 -4500 1295.115 4001 -796.1148
1 3 319.0787 -1284.486 4001 -3035.593
1 3 584.5787 1971.423 1693.998 -4250
1 3 -2661.591 84.34791 -500.5776 3077.821
1 3 -4500 2060.135 2657.52 -217.6548
1 3 2685.151 -3562.43 -619.4426 1496.722
1 3 3319.101 1158.376 -1199.716 -3277.761
1 3 4103.636 714.3429 -1960.096 -2857.883
1 3 2941.079 -3555.785 -669.4122 1284.117
1 3 -4500 -1947.647 4001 2446.647
1 3 600.2886 -1885.426 4001 -2715.863
